productName,productPrice,productLink,productImage,shopName,shopLocation,reviewStars
hp samsung e1272 termurah original jadul samsung lipat dual sim - Hitam,153500,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Little Master.shop,Jakarta Utara,5
Hp SAMSUNG LIPAT E1272 TERMURAH dual sim 2 Garansi Distributor - Hitam,155000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,sodo shop,Tangerang,5
Nokia 105 2019 Dual Sim bahasa indonesia - Hitam,139000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Cupid.,Tangerang,5
hp nokia 108 murah original jadul nokia camera dual sim - Hitam,147000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Little Superman,Jakarta Utara,5
"(IBOX) iPhone 12 Pro Max 128GB 256GB 512GB Garansi Resmi 128 256 512 - 128 GB, Silver",17990000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Putra Group,Jakarta Pusat,5
IPhone 12 Pro Garansi Resmi Ibox,16699000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,PT Pratama Sntra Semesta,Jakarta Barat,5
XIAOMI POCO F3 8/256GB NFC Snapdragon™ 870 48MP 4520mAh HP Android,5499000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Xiaomi Official Store,Kab. Tangerang,5
SAMSUNG GALAXY A32 5G - NFC - 8GB 128GB 8/128 GARANSI RESMI,3749900,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Shopyz ID,Jakarta Timur,5
SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi,2799900,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,Shopyz ID,Jakarta Timur,5
Oppo Reno 6 Ram 8GB+128GB Garansi Resmi Oppo 1 Tahun,4379000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_UNHAJp6_Hfbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_y7HAJFHArpoZFiyRCsUstdHAnDUMVj9RosQR-BUstposjX6AHaopjdoAK7Hpn76mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peF_32z81O1z_Vvucod_BzVH1NE3_o-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVj7_Bz-H7Y1z_z68MPd_S2-HjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMx033O-HJY1e_uHuOjh3Bz-PJNIz9Bo1pV2__-z8Jh9z926uO2t_3OgP7NIu_Voq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_jydPOxEeMgozsBM_1ydPOxEeMgoe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qj7a_OH7oJOEZ_ovucrF_7zz8jOJ1_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2C81O1e_o6ucDh_M2zoJNkZ3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-sy9zBgfYa8uYi8uYFrMYjP3o7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHprNHs1DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstpwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flittlemaster%2Fhp-samsung-e1272-termurah-original-jadul-samsung-lipat-dual-sim-hitam%3Fsrc%3Dtopads&src=directory&t=desktop&dv=desktop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg.webp?ect=4g,36shop,Jakarta Barat,5
